review_id,campaign_a,campaign_b,session_a,session_b,sampling_rationale,same_campaign_ground_truth (fill in: SAME|DIFFERENT|UNCERTAIN),evidence_reference,reviewer
REV-CC-0001,CAMP_F91A7652,CAMP_1429ADB4,SESSION::SCN-SESSION-BOUNDARY-001::192.168.56.105->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-001::192.168.56.105->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0002,CAMP_066240B7,CAMP_23FB320A,SESSION::SCN-SESSION-BOUNDARY-001::192.168.56.105->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-001::192.168.56.105->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0003,CAMP_835F5335,CAMP_436330B7,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0004,CAMP_D8605E81,CAMP_6988F109,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0005,CAMP_E8E9F042,CAMP_C6E494CF,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0006,CAMP_0E9C0284,CAMP_E449E81D,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0007,CAMP_DAE35509,CAMP_F51E9C79,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0008,CAMP_10407C1A,CAMP_DDBFC6D9,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0009,CAMP_BB680773,CAMP_F4E63855,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0010,CAMP_38EBD436,CAMP_5DD3F083,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,within_session (candidate: same real campaign),,,
REV-CC-0011,CAMP_77263583,CAMP_947A7084,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,within_session (candidate: same real campaign),,,
REV-CC-0012,CAMP_BB19A996,CAMP_1B8E9033,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,within_session (candidate: same real campaign),,,
REV-CC-0013,CAMP_B177634A,CAMP_5D691192,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,within_session (candidate: same real campaign),,,
REV-CC-0014,CAMP_9669CA33,CAMP_86D5837D,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,within_session (candidate: same real campaign),,,
REV-CC-0015,CAMP_67FCB361,CAMP_427A075C,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,within_session (candidate: same real campaign),,,
REV-CC-0016,CAMP_F91A7652,CAMP_DAE35509,SESSION::SCN-SESSION-BOUNDARY-001::192.168.56.105->pes1ug23cs411-VirtualBox,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,cross_session (candidate: different real campaign),,,
REV-CC-0017,CAMP_F91A7652,CAMP_9669CA33,SESSION::SCN-SESSION-BOUNDARY-001::192.168.56.105->pes1ug23cs411-VirtualBox,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,cross_session (candidate: different real campaign),,,
REV-CC-0018,CAMP_6988F109,CAMP_15E98B82,SESSION::SCN-SESSION-BOUNDARY-002::192.168.56.106->pes1ug23cs411-VirtualBox,SESSION::SCN-NMAP-001::192.168.56.106->192.168.56.105,cross_session (candidate: different real campaign),,,
