review_id,sample_id,scenario_id,timestamp,raw_event_reference,attacker,victim,raw_rule_id,raw_rule_description,raw_rule_native_mitre,ai_proposed_expected_mitre_techniques,"cyukti_prediction (live resolve_mitre() output, NOT ground truth)",labeling_method,evidence_reference,decision (fill in: ACCEPT|MODIFY|REJECT|UNCERTAIN),"corrected_techniques (fill in only if MODIFY, comma-separated ATT&CK IDs)",reviewer,rationale
REV-MITRE-0001,SCN-SSHBRUTE-001-000,SCN-SSHBRUTE-001,2026-06-08T05:26:11.194+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0002,SCN-SSHBRUTE-001-001,SCN-SSHBRUTE-001,2026-06-08T05:26:11.196+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0003,SCN-SSHBRUTE-001-002,SCN-SSHBRUTE-001,2026-06-08T05:26:27.280+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0004,SCN-SSHBRUTE-001-003,SCN-SSHBRUTE-001,2026-06-08T05:26:29.203+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0005,SCN-SSHBRUTE-001-004,SCN-SSHBRUTE-001,2026-06-08T05:26:47.238+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0006,SCN-SSHBRUTE-001-005,SCN-SSHBRUTE-001,2026-06-08T05:26:47.242+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0007,SCN-SSHBRUTE-001-006,SCN-SSHBRUTE-001,2026-06-08T07:10:30.847+0000,rule=5503|agent=000,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0008,SCN-SSHBRUTE-001-007,SCN-SSHBRUTE-001,2026-06-09T05:44:14.081+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0009,SCN-SSHBRUTE-001-008,SCN-SSHBRUTE-001,2026-06-09T10:54:16.899+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
REV-MITRE-0010,SCN-SSHBRUTE-001-009,SCN-SSHBRUTE-001,2026-06-09T10:54:16.905+0000,rule=5503|agent=001,192.168.56.106,pes1ug23cs411-VirtualBox,5503,PAM: User login failed.,"{""id"": [""T1110.001""], ""tactic"": [""Credential Access""], ""technique"": [""Password Guessing""]}","T1110,T1110.001",T1110.001,raw Wazuh alert rule.description text cross-referenced against the scenario's pre-declared expected_techniques (themselves derived from MITRE ATT&CK's own technique definitions applied to the rule text) -- independent of mitre_resolver.py,"raw alert rule.description='PAM: User login failed.' rule.id=5503; scenario evidence: [""MITRE_MAPPING.md (rules 100510/210010/210011/100100/100200, 'LOGIN_ATTACK'/'LOGIN_FAIL')"", ""ACCURACY_EVALUATION.md ('synthetic traffic generator (LOGIN_ATTACK, BOT_ATTACK, etc.)')"", 'journal_ready_data.md Section 10.6 (CAMP_D8605E81, T1110/T1110.001, attacker 192.168.56.106 -> pes1ug23cs411-VirtualBox)']",,,,
