review_id,sample_id,scenario_id,raw_event_reference (real Campaign.campaign_id),attacker,victim,ai_proposed_expected_threat_status,"live_cti_score (reference only, NOT the label)","cyukti_prediction (derived from cti_score via cti_confidence_engine thresholds, NOT ground truth)",evidence_reference,ground_truth_threat_status (fill in: NOT_THREAT|SUSPICIOUS|QUALIFIED_THREAT),confidence (fill in: HIGH|MEDIUM|LOW),rationale,reviewer
REV-TQ-0001,SCN-SESSION-BOUNDARY-002-CAMP_1627943B,SCN-SESSION-BOUNDARY-002,CAMP_1627943B,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,53.38,QUALIFIED_THREAT,"real Campaign CAMP_1627943B, cti_score=53.38; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0002,SCN-SESSION-BOUNDARY-002-CAMP_BB9A0F28,SCN-SESSION-BOUNDARY-002,CAMP_BB9A0F28,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,56.07,QUALIFIED_THREAT,"real Campaign CAMP_BB9A0F28, cti_score=56.07; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0003,SCN-SESSION-BOUNDARY-002-CAMP_0E9C0284,SCN-SESSION-BOUNDARY-002,CAMP_0E9C0284,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,53.63,QUALIFIED_THREAT,"real Campaign CAMP_0E9C0284, cti_score=53.63; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0004,SCN-SESSION-BOUNDARY-002-CAMP_C6E494CF,SCN-SESSION-BOUNDARY-002,CAMP_C6E494CF,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,52.63,QUALIFIED_THREAT,"real Campaign CAMP_C6E494CF, cti_score=52.63; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0005,SCN-SESSION-BOUNDARY-002-CAMP_75FBEEBC,SCN-SESSION-BOUNDARY-002,CAMP_75FBEEBC,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,54.13,QUALIFIED_THREAT,"real Campaign CAMP_75FBEEBC, cti_score=54.13; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0006,SCN-SESSION-BOUNDARY-002-CAMP_DDBFC6D9,SCN-SESSION-BOUNDARY-002,CAMP_DDBFC6D9,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,49.1,QUALIFIED_THREAT,"real Campaign CAMP_DDBFC6D9, cti_score=49.1; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0007,SCN-SESSION-BOUNDARY-002-CAMP_10407C1A,SCN-SESSION-BOUNDARY-002,CAMP_10407C1A,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,40.07,QUALIFIED_THREAT,"real Campaign CAMP_10407C1A, cti_score=40.07; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0008,SCN-SESSION-BOUNDARY-002-CAMP_D8605E81,SCN-SESSION-BOUNDARY-002,CAMP_D8605E81,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,65.81,QUALIFIED_THREAT,"real Campaign CAMP_D8605E81, cti_score=65.81; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0009,SCN-SESSION-BOUNDARY-002-CAMP_DAE35509,SCN-SESSION-BOUNDARY-002,CAMP_DAE35509,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,52.63,QUALIFIED_THREAT,"real Campaign CAMP_DAE35509, cti_score=52.63; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0010,SCN-SESSION-BOUNDARY-002-CAMP_E449E81D,SCN-SESSION-BOUNDARY-002,CAMP_E449E81D,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,52.38,QUALIFIED_THREAT,"real Campaign CAMP_E449E81D, cti_score=52.38; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0011,SCN-SESSION-BOUNDARY-002-CAMP_BB680773,SCN-SESSION-BOUNDARY-002,CAMP_BB680773,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,49.18,QUALIFIED_THREAT,"real Campaign CAMP_BB680773, cti_score=49.18; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-TQ-0012,SCN-SESSION-BOUNDARY-002-CAMP_E8E9F042,SCN-SESSION-BOUNDARY-002,CAMP_E8E9F042,192.168.56.106,pes1ug23cs411-VirtualBox,SUSPICIOUS,65.81,QUALIFIED_THREAT,"real Campaign CAMP_E8E9F042, cti_score=65.81; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
